"NVP_BID_NR","SVC_GRP_NR","RCM_NCV_QY","NCV_MIN_QY","NCV_MAX_QY","MVM_DRC_CD","SVC_TYP_CD","SVC_FEA_TYP_CD"
"I930000891","ACCRYXV",0,0,1,"E","WXS","ALL"
"I930000891","ACCRYYK",0,0,0,"E","WXP","ALL"
"I930000891","ACCRYYZ",0,0,0,"I","XPR","ALL"
"I930000891","ACCRYXX",0,0,0,"I","XPR","ALL"
"I110000891","ACCRVJK",0.682,0.632,0.692,"N","2DA","SCX"
"I930000891","ACCRVGO",0.63,0.58,0.64,"N","2DA","SCX"
"I930000891","ACCRVGX",0.611,0.561,0.621,"E","XPR","ALL"
"I930000891","ACCRVGX",0.661,0.561,0.621,"E","XPR","ALL"
"I930000891","ACCRVGZ",0.611,0.561,0.621,"E","XPR","AGC"
"I930000891","ACCRVHJ",0.661,0.561,0.621,"E","WXS","ALL"
"I930000891","ACCRVHQ",0.474,0.424,0.484,"I","WWS","ALL"
"I930000891","ACCRYZT",0,0,0,"I","WXP","ALL"
"I930000891","ACCRYZT",0,0,1,"I","WXP","ALL"
"I110000891","ACCRVJQ",0,0.5,0,"N","GND","ALL"
"I930000891","ACCRYYH",0,0,1,"E","GND","ALL"
"I930000891","ACCRYXU",0,0,1,"I","GND","ALL"
"I930000891","ACCRYYU",0,0,0,"I","WWS","ALL"
"I930000891","ACCRYXT",0,0,1,"N","ALL","ALL"
"I930000891","ACCRYZK",0,0,0,"I","WFM","ALL"
"I930000891","ACCRYZM",0,0,1,"I","EXW","ALL"
"I930000891","ACCRVJB",0,0.5,0,"N","1DA","ALL"
"I930000891","ACCRYYI",0,0,0,"I","WWS","ALL"
"I930000891","ACCRYZQ",0,0,1,"E","XPR","ALL"
"I930000891","ACCRYYA",0,0.5,0,"N","USB","ALL"
"I930000891","ACCRYZG",0,0,1,"I","3DM","ALL"
"I930000891","ACCRYYB",0,0,0,"N","USG","ALL"
"I110000891","ACCRVJI",0.7,0.65,0.71,"N","1DP","SCX"
"I930000891","ACCRVGI",0.675,0.61,0.67,"N","1DA","SCX"
"I930000891","ACCRVGK",0.675,0.625,0.685,"N","1DP","SCX"
"I930000891","ACCRVGX",0.661,0.611,0.671,"E","XPR","ALL"
"I930000891","ACCRVHN",0.474,0.424,0.484,"I","WXS","ALL"
"I930000891","ACCRVHU",0.204,0.14,0.2,"N","USL","SCR"
"I930000891","ACCRYYT",0,0,1,"N","USM","ALL"
"I930000891","ACCRYYW",0,0,1,"E","WWS","ALL"
"I930000891","ACCRZKC",0,0,1,"N","1DA","ALL"
"I930000891","ACCRVJC",0.25,0.25,0.25,"N","GND","ALL"
"I930000891","ACCRYZF",0,0,1,"I","WXS","ALL"
"I930000891","ACCRYYQ",0,0,1,"I","WXS","ALL"
"I110000891","ACCRVJP",0,0.5,0,"N","1DA","ALL"
"I110000891","ACCRVJP",0.25,0.25,0.25,"N","1DA","ALL"
"I930000891","ACCRYZO",0,0,1,"I","WFM","ALL"
"I930000891","ACCRYYK",0,0,1,"E","WXP","ALL"
"I930000891","ACCRYYX",0,0,0,"E","EXW","ALL"
"I930000891","ACCRYXX",0,0,1,"I","XPR","ALL"
"I110000891","ACCRVJG",0.7,0.64,0.7,"N","1DA","SCX"
"I110000891","ACCRVJG",0.7,0.65,0.71,"N","1DA","SCX"
"I110000891","ACCRVJK",0.682,0.59,0.65,"N","2DA","SCX"
"I930000891","ACCRVGK",0.675,0.61,0.67,"N","1DP","SCX"
"I930000891","ACCRVGW",0.661,0.611,0.671,"E","XPR","ALL"
"I930000891","ACCRVHB",0.611,0.561,0.621,"E","XPD","ALL"
"I930000891","ACCRVHB",0.661,0.611,0.671,"E","XPD","ALL"
"I930000891","ACCRVHD",0.661,0.561,0.621,"E","XPD","ALL"
"I930000891","ACCRVHG",0.474,0.424,0.484,"I","XPR","ALL"
"I930000891","ACCRVHH",0.661,0.611,0.671,"E","WXS","ALL"
"I930000891","ACCRVHJ",0.611,0.561,0.621,"E","WXS","ALL"
"I930000891","ACCRVHL",0.474,0.424,0.484,"I","WXS","ALL"
"I930000891","ACCRVHS",0.661,0.611,0.671,"E","XPR","ALL"
"I930000891","ACCRVHW",0.661,0.561,0.621,"E","WXP","ALL"
"I930000891","ACCRVHY",0.661,0.561,0.621,"E","WFM","ALL"
"I930000891","ACCRYYW",0,0,0,"E","WWS","ALL"
"I930000891","ACCRYZR",0,0,1,"I","XPD","ALL"
"I110000891","ACCRVJQ",0,0,0,"N","GND","ALL"
"I110000891","ACCRVJQ",0,0,1,"N","GND","ALL"
"I930000891","ACCRYZP",0,0,1,"I","EXW","ALL"
"I930000891","ACCRYZQ",0,0,0,"E","XPR","ALL"
"I930000891","ACCRYZA",0,0,1,"E","WFM","ALL"
"I930000891","ACCRYYL",0,0,1,"I","GND","ALL"
"I110000891","ACCRVJR",0,0,0,"N","GND","ALL"
