"NVP_BID_NR","SHR_AC_NR","CUS_AC_STT_DT","CNY_CD","SIC_CD","DIS_NR","REG_NR","SHR_NA","PU_ARA_ASY_CSF_CD"
"I110000891","0000R34W51",05-OCT-17,"US","3663","36","07","                    ","UDS"
"I930000891","0000R34W51",05-OCT-17,"US","3663","36","07","                    ","UDS"
