"SVC_GRP_NR","SVC_GRP_SUF_NR","NVP_BID_NR","TRG_PSE_SVC_ID","SVC_FEA_TYP_CD","SVC_FEA_TYP_DSC_TE","PKG_CHA_TYP_CD","PKG_CHA_TYP_DSC_TE","SVC_TYP_CD","SVC_TYP_CD_DSC_TE","CPE_CRR_NR","CRR_ABR_NA","CPE_CRR_FUL_NA","BID_CPE_DTL_CD","CPE_PDC_NR","CPE_PDC_ABR_DSC_TE","CPE_PDC_DSC_TE","CCY_CD","CCY_NA","BID_UPS_PJT_WVL_QY","BID_CUS_PRR_WVL_QY","UPS_PRJ_GRS_RPP_A","BID_MRG_CPP_A","SVC_GRP_CUS_NCV_A","SVC_GRP_PSE_NCV_PR","CPE_SVC_RPP_A","BID_FA_CPP_A","SVC_EFF_DT","SVC_END_DT","NVP_ETM_CMC_WK_PR","CUS_PRR_NCV_PR","AVG_PKG_WGT_QY","CPE_GRS_RPP_A","CPE_NET_RPP_A","LOS_PKG_AVG_QY","PDC_AVG_ZN_QY","RA_TRI_DER_AVG_QY","RA_TRI_AVG_QY","SMT_PKG_AVG_SMP_QY","SMT_TOT_AVG_QY","SMT_WGT_AVG_QY","WGT_MS_UNT_TYP_CD","PCN_SUB_MTH_TYP_CD","NVP_BID_FRT_GRR_A","MVM_DRC_CD","CU_SMP_AVG_WGT_QY","CU_SMP_AVG_NR","CALC_CUBE_PACKAGE_DENSITY"
"ACCRVGJ","00","I930000891","N1DPLTRSCX","SCX","                    ","LTR","                    ","1DP","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,30.6538,6.265738,0,0,0,8.174886,07-OCT-17,24-AUG-47,0.59,0,,,,,,,,,,,"LB","T",30.6538,"N",0,0.0353,0
"ACCRVGK","00","I930000891","N1DPPKGSCX","SCX","                    ","PKG","                    ","1DP","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",5.7134,0.1859,86.816,7.987074,0,0,0,12.098351,07-OCT-17,24-AUG-47,1,0.6,,,,,,,,,,,"LB","T",86.816,"N",7.8,0.703528,11.087
"ACCRVGL","00","I930000891","NGNDPKGSPB","SPB","                    ","PKG","                    ","GND","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",61.9691,0.2,11.58,4.684693,0,0,0,6.085638,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",11.58,"N",0,1.69442,0
"ACCRVGM","00","I930000891","NGNDPKGCWT","CWT","                    ","PKG","                    ","GND","                    ","000016","FEDEX ","                    ","2","0032","                    ","                    ","USD","                    ",13.4815,0,25.578,8.359267,0,0,0,10.330866,07-OCT-17,24-AUG-47,1,0,60,22.404,19.4,22,2,4,6,5,2.7,300,"LB","T",25.578,"N",60,4.4948,13.3488
"ACCRVGN","00","I930000891","NGNDPKGSCR","SCR","                    ","PKG","                    ","GND","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",43.9182,0,11.58,6.089895,0,0,0,7.88034,07-OCT-17,24-AUG-47,0,0,,,,,,,,,,,"LB","T",14.98,"N",0,1.909252,0
"ACCRVGO","00","I930000891","N2DALTRSCX","SCX","                    ","LTR","                    ","2DA","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,21.106,5.243581,0,0,0,6.904141,07-OCT-17,24-AUG-47,0.626,0,,,,,,,,,,,"LB","T",21.3835,"N",0,0.0353,0
"ACCRVGP","00","I930000891","N2DAPKGSCX","SCX","                    ","PKG","                    ","2DA","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",35.2698,0.1468,27.3763,3.165165,0,0,0,4.115144,07-OCT-17,24-AUG-47,1,0.5233,,,,,,,,,,,"LB","T",27.3763,"N",5.125,0.459714,11.1482
"ACCRVGQ","00","I930000891","N2DMLTRSPB","SPB","                    ","LTR","                    ","2DM","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,22.7682,5.018682,0,0,0,6.382905,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",22.9785,"N",0,0.0353,0
"ACCRVGR","00","I930000891","N2DMPKGSPB","SPB","                    ","PKG","                    ","2DM","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,23.817,5.979681,0,0,0,7.458928,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",24.1502,"N",0,0.187071,0
"ACCRVGS","00","I930000891","IGNDPKGALL","ALL","                    ","PKG","                    ","GND","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",11.6963,-0.0009,24.8275,7.202621,0,0,0,8.988969,07-OCT-17,24-AUG-47,0.9962,0,,,,,,,,,,,"LB","T",24.8984,"I",6.98,1.022424,6.8269
