"SVC_GRP_NR","SVC_GRP_SUF_NR","NVP_BID_NR","TRG_PSE_SVC_ID","SVC_FEA_TYP_CD","SVC_FEA_TYP_DSC_TE","PKG_CHA_TYP_CD","PKG_CHA_TYP_DSC_TE","SVC_TYP_CD","SVC_TYP_CD_DSC_TE","CPE_CRR_NR","CRR_ABR_NA","CPE_CRR_FUL_NA","BID_CPE_DTL_CD","CPE_PDC_NR","CPE_PDC_ABR_DSC_TE","CPE_PDC_DSC_TE","CCY_CD","CCY_NA","BID_UPS_PJT_WVL_QY","BID_CUS_PRR_WVL_QY","UPS_PRJ_GRS_RPP_A","BID_MRG_CPP_A","SVC_GRP_CUS_NCV_A","SVC_GRP_PSE_NCV_PR","CPE_SVC_RPP_A","BID_FA_CPP_A","SVC_EFF_DT","SVC_END_DT","NVP_ETM_CMC_WK_PR","CUS_PRR_NCV_PR","AVG_PKG_WGT_QY","CPE_GRS_RPP_A","CPE_NET_RPP_A","LOS_PKG_AVG_QY","PDC_AVG_ZN_QY","RA_TRI_DER_AVG_QY","RA_TRI_AVG_QY","SMT_PKG_AVG_SMP_QY","SMT_TOT_AVG_QY","SMT_WGT_AVG_QY","WGT_MS_UNT_TYP_CD","PCN_SUB_MTH_TYP_CD","NVP_BID_FRT_GRR_A","MVM_DRC_CD","CU_SMP_AVG_WGT_QY","CU_SMP_AVG_NR","CALC_CUBE_PACKAGE_DENSITY"
"ACCRVHX","00","I930000891","IWXPPALALL","ALL","                    ","PAL","                    ","WXP","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0214,0,3173.7917,688.888785,0,0,0,797.898608,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",3173.7917,"I",0,1.32,0
"ACCRVHY","00","I930000891","EWFMPALALL","ALL","                    ","PAL","                    ","WFM","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0477,0,1700.8532,93.409326,0,0,0,124.454886,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",1700.8532,"E",0,1.32,0
"ACCRVHZ","00","I930000891","IWFMPALALL","ALL","                    ","PAL","                    ","WFM","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0328,0,2074.2234,81.111983,0,0,0,126.573335,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",2074.2234,"I",0,1.32,0
"ACCRVJB","00","I930000891","N1DAALLALL","ALL","                    ","ALL","                    ","1DA","                    ","000033","      ","                    ","3","0000","                    ","                    ","USD","                    ",500,0,0.0002,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.0002,"N",0,0,0
"ACCRVJC","00","I930000891","NGNDALLALL","ALL","                    ","ALL","                    ","GND","                    ","000033","      ","                    ","3","0000","                    ","                    ","USD","                    ",500,0,0.0002,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.0002,"N",0,0,0
"ACCRVJD","00","I930000891","NGNDALLALL","ALL","                    ","ALL","                    ","GND","                    ","000033","      ","                    ","3","0000","                    ","                    ","USD","                    ",0.0001,0,3.4,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB","A",3.4,"N",0,0,0
"ACCRVJE","00","I930000891","N1DAALLALL","ALL","                    ","ALL","                    ","1DA","                    ","000033","      ","                    ","3","0000","                    ","                    ","USD","                    ",0.0001,0,4.0001,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB","A",4.0001,"N",0,0,0
"ACCRYXT","00","I930000891","NALLALLALL","ALL","                    ","ALL","                    ","ALL","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",1,0,0,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0,"N",0,0,0
"ACCRYXU","00","I930000891","IGNDALLALL","ALL","                    ","ALL","                    ","GND","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYXV","00","I930000891","EWXSALLALL","ALL","                    ","ALL","                    ","WXS","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"E",0,0,0
"ACCRYXX","00","I930000891","IXPRALLALL","ALL","                    ","ALL","                    ","XPR","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYXY","00","I930000891","NUSLALLALL","ALL","                    ","ALL","                    ","USL","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",1,0,0,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0,"N",0,0,0
"ACCRYXZ","00","I930000891","IXPDALLALL","ALL","                    ","ALL","                    ","XPD","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYYA","00","I930000891","NUSBALLALL","ALL","                    ","ALL","                    ","USB","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",1,0,0,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0,"N",0,0,0
"ACCRYYB","00","I930000891","NUSGALLALL","ALL","                    ","ALL","                    ","USG","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",1,0,0,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0,"N",0,0,0
"ACCRYYC","00","I930000891","IWXPALLALL","ALL","                    ","ALL","                    ","WXP","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYYE","00","I930000891","IWXPALLALL","ALL","                    ","ALL","                    ","WXP","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYYH","00","I930000891","EGNDALLALL","ALL","                    ","ALL","                    ","GND","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"E",0,0,0
"ACCRYYI","00","I930000891","IWWSALLALL","ALL","                    ","ALL","                    ","WWS","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYYK","00","I930000891","EWXPALLALL","ALL","                    ","ALL","                    ","WXP","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"E",0,0,0
"ACCRYYL","00","I930000891","IGNDALLALL","ALL","                    ","ALL","                    ","GND","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYYN","00","I930000891","I3DMALLALL","ALL","                    ","ALL","                    ","3DM","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYYO","00","I930000891","EWXPALLALL","ALL","                    ","ALL","                    ","WXP","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"E",0,0,0
"ACCRYYQ","00","I930000891","IWXSALLALL","ALL","                    ","ALL","                    ","WXS","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYYT","00","I930000891","NUSMALLALL","ALL","                    ","ALL","                    ","USM","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",1,0,0,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0,"N",0,0,0
"ACCRYYU","00","I930000891","IWWSALLALL","ALL","                    ","ALL","                    ","WWS","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYYW","00","I930000891","EWWSALLALL","ALL","                    ","ALL","                    ","WWS","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"E",0,0,0
"ACCRYYX","00","I930000891","EEXWALLALL","ALL","                    ","ALL","                    ","EXW","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"E",0,0,0
"ACCRYYZ","00","I930000891","IXPRALLALL","ALL","                    ","ALL","                    ","XPR","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYZA","00","I930000891","EWFMALLALL","ALL","                    ","ALL","                    ","WFM","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"E",0,0,0
"ACCRYZB","00","I930000891","EWFMALLALL","ALL","                    ","ALL","                    ","WFM","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"E",0,0,0
"ACCRYZE","00","I930000891","EXPDALLALL","ALL","                    ","ALL","                    ","XPD","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"E",0,0,0
"ACCRYZF","00","I930000891","IWXSALLALL","ALL","                    ","ALL","                    ","WXS","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYZG","00","I930000891","I3DMALLALL","ALL","                    ","ALL","                    ","3DM","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYZJ","00","I930000891","IWFMALLALL","ALL","                    ","ALL","                    ","WFM","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYZK","00","I930000891","IWFMALLALL","ALL","                    ","ALL","                    ","WFM","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYZM","00","I930000891","IEXWALLALL","ALL","                    ","ALL","                    ","EXW","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYZO","00","I930000891","IWFMALLALL","ALL","                    ","ALL","                    ","WFM","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYZP","00","I930000891","IEXWALLALL","ALL","                    ","ALL","                    ","EXW","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYZQ","00","I930000891","EXPRALLALL","ALL","                    ","ALL","                    ","XPR","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"E",0,0,0
"ACCRYZR","00","I930000891","IXPDALLALL","ALL","                    ","ALL","                    ","XPD","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRYZT","00","I930000891","IWXPALLALL","ALL","                    ","ALL","                    ","WXP","                    ","000033","      ","                    ","0","0000","                    ","                    ","USD","                    ",0.2381,0,0.42,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.42,"I",0,0,0
"ACCRZKC","00","I930000891","N1DAALLALL","ALL","                    ","ALL","                    ","1DA","                    ","000033","      ","                    ","3","0000","                    ","                    ","USD","                    ",1,0,0.1,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.1,"N",0,0,0
