"NVP_BID_NR","NVP_BID_CGY_TYP_CD","NVP_BID_STS_CD","BID_STS_EFF_DT","NVP_BID_NA","NVP_BID_INI_DT","NVP_BID_EFF_DT","NVP_BID_END_DT","EMP_NA","CPE_ETM_OR_IR","NVP_BID_PRP_DT","NVP_BID_RQT_RSN_CD"
"I110000891","02","$",03-OCT-17,"                    ",29-SEP-17,07-OCT-17,24-AUG-47,"                    ","N",12-DEC-99,"03"
"I930000891","02","$",04-OCT-17,"                    ",29-SEP-17,07-OCT-17,24-AUG-47,"                    ","N",12-DEC-99,"03"
